
  Obs               Wages          Retirement             Medical           TotalCost  Rate_wage  Rate_retire  Rate_med
-----  ------------------  ------------------  ------------------  ------------------  ---------  -----------  --------
    1            13260220             1789710              710655            15760585       0.03        0.014     0.095
    2          13658026.6          1814765.94          778167.225        32011544.765       0.03        0.014     0.095
    3        14067767.398       1840172.66316       852093.111375     48771577.937535       0.03        0.014     0.095
    4      14489800.41994    1865935.08044424    933041.956955625   66060355.39487487       0.03        0.014     0.095
    5    14924494.4325382  1892058.1715704594  1021680.9428664093   83898588.94184995       0.03        0.014     0.095
    6  15372229.265514346   1918546.985972446   1118740.632438718  102308105.82577546       0.03        0.014     0.095
    7  15833396.143479776    1945406.64377606  1225020.9925203964  121311929.60555169       0.03        0.014     0.095
    8  16308398.027784169  1972642.3367889249   1341397.986809834  140934367.95693463       0.03        0.014     0.095
    9  16797649.968617693  2000259.3295039698   1468830.795556768  161201108.05061305       0.03        0.014     0.095
   10  17301579.467676222  2028262.9601170253   1608369.721134661  182139320.19954097       0.03        0.014     0.095

  Obs           Wages        Retirement           Medical          TotalCost      Income  Rate_wage  Rate_retire  Rate_med  Rate_income
-----  --------------  ----------------  ----------------  -----------------  ----------  ---------  -----------  --------  -----------
    1        13260220           1789710            710655           15760585    50500000       0.03        0.014     0.095         0.01
    2      13658026.6        1814765.94        778167.225       32011544.765    51005000       0.03        0.014     0.095         0.01
    3    14067767.398     1840172.66316     852093.111375    48771577.937535    51515050       0.03        0.014     0.095         0.01
    4  14489800.41994  1865935.08044424  933041.956955625  66060355.39487487  52030200.5       0.03        0.014     0.095         0.01

  Obs          Income         Expense  Rate_income  Rate_expense
-----  --------------  --------------  -----------  ------------
    1  $50,500,000.00  $39,525,000.00         0.01          0.02
    2  $51,005,000.00  $40,315,500.00         0.01          0.02
    3  $51,515,050.00  $41,121,810.00         0.01          0.02
    4  $52,030,200.50  $41,944,246.20         0.01          0.02
    5  $52,550,502.51  $42,783,131.12         0.01          0.02
    6  $53,076,007.53  $43,638,793.75         0.01          0.02
    7  $53,606,767.61  $44,511,569.62         0.01          0.02
    8  $54,142,835.28  $45,401,801.01         0.01          0.02
    9  $54,684,263.63  $46,309,837.03         0.01          0.02
   10  $55,231,106.27  $47,236,033.77         0.01          0.02
   11  $55,783,417.33  $48,180,754.45         0.01          0.02
   12  $56,341,251.51  $49,144,369.54         0.01          0.02
   13  $56,904,664.02  $50,127,256.93         0.01          0.02
   14  $57,473,710.66  $51,129,802.07         0.01          0.02
   15  $58,048,447.77  $52,152,398.11         0.01          0.02
   16  $58,628,932.25  $53,195,446.07         0.01          0.02
   17  $59,215,221.57  $54,259,354.99         0.01          0.02
   18  $59,807,373.78  $55,344,542.09         0.01          0.02
   19  $60,405,447.52  $56,451,432.94         0.01          0.02
   20  $61,009,502.00  $57,580,461.59         0.01          0.02
   21  $61,619,597.02  $58,732,070.83         0.01          0.02
   22  $62,235,792.99  $59,906,712.24         0.01          0.02
   23  $62,858,150.92  $61,104,846.49         0.01          0.02
   24  $63,486,732.43  $62,326,943.42         0.01          0.02
   25  $64,121,599.75  $63,573,482.29         0.01          0.02
   26  $64,762,815.75  $64,844,951.93         0.01          0.02

