
  Obs    I              X
-----  ---  -------------
    1    1   1.2711518803
    2    2   1.2281695579
    3    3  -1.7415884453
    4    4  -0.3219088279
    5    5   0.1142917029
    6    6  -0.0442322567
    7    7  -0.3296657961
    8    8   1.2681039893
    9    9   1.9508823928
   10   10  -1.4683509764
   11   11  -0.9661356432
   12   12   0.1632301826
   13   13  -1.4591685259
   14   14   0.0406226175
   15   15   1.1332178418
   16   16  -0.7817132428
   17   17  -0.0771784112
   18   18   0.1207503162
   19   19   0.1545721512
   20   20  -2.0638391208
   21   21   0.2104554477
   22   22   1.2808614421
   23   23  -0.1586818091
   24   24   -0.662113187
   25   25   0.8641847437
   26   26   0.4655652597
   27   27   0.2041051799
   28   28   0.0883515579
   29   29  -0.7768815892
   30   30   1.2090525617
   31   31   0.6434784665
   32   32  -0.5093631815
   33   33  -1.5839461613
   34   34  -2.1850308637
   35   35  -0.6194538611
   36   36   1.0048404338
   37   37   0.1617036572
   38   38   1.2878530354
   39   39   0.1380133762
   40   40   -0.917428577
   41   41  -0.2739352399
   42   42   0.5098658156
   43   43   0.1381092497
   44   44   0.1570115978
   45   45  -0.3765618308
   46   46   0.0577257639
   47   47   -0.870242366
   48   48   0.7316682931
   49   49   1.7963559176
   50   50    0.590480329
   51   51  -0.7760547562
   52   52   1.0993259104
   53   53  -0.1568445441
   54   54   0.5560874656
   55   55   1.1920419478
   56   56    0.238632202
   57   57  -0.3216104199
   58   58    0.897330502
   59   59   1.6484296861
   60   60  -1.6209986699
   61   61   0.4699629428
   62   62  -1.2995355661
   63   63  -1.0303502482
   64   64   0.1860208618
   65   65   -2.092176797
   66   66   0.4111971275
   67   67  -1.0066489958
   68   68  -0.8296092206
   69   69  -1.9684676605
   70   70   0.3880633123
   71   71   0.5057122382
   72   72   0.5418991965
   73   73    1.720314724
   74   74  -2.5041454646
   75   75   1.5246971417
   76   76   0.2690420836
   77   77   0.9117097954
   78   78   0.6257788142
   79   79  -0.3761228221
   80   80  -0.5380192707
   81   81   0.3584652952
   82   82   0.1061684985
   83   83   1.2824773976
   84   84  -0.8826661998
   85   85  -0.6639383096
   86   86    0.567102288
   87   87   0.5586819695
   88   88   0.8573765213
   89   89  -0.8669782078
   90   90    0.754203247
   91   91   1.2613838242
   92   92   0.8823164719
   93   93  -0.1913804916
   94   94   1.3400993598
   95   95  -0.1132493253
   96   96  -0.3385891726
   97   97  -0.1678096317
   98   98   0.0620500135
   99   99   0.6775653749
  100  100  -0.5019722525

